date,total_price(萬),square(坪),square_price(萬/坪),主建物佔比,type,age,floor,格局,電梯
2018-09-30,1115.0,66.81,16.69,51.24%,華廈,10,6F/10F,3房1廳1衛,N
2018-09-30,1050.0,30.59,34.27,82.00%,公寓,36,3F/5F,3房2廳1衛,N
2018-09-30,1080.0,37.81,28.56,85.32%,公寓,,3F/5F,3房1廳2衛,N
2018-09-30,1400.0,46.0,30.43,85.83%,公寓,46,3F/4F,3房2廳1衛,N
2018-09-30,1136.0,44.31,25.64,56.58%,華廈,12,4F/8F,2房2廳1衛,N
2018-09-30,1438.0,48.59,29.58,57.38%,住宅大樓,3,4F/12F,2房2廳1衛,N
2018-09-29,1400.0,42.5,32.97,92.20%,公寓,,3F/4F,3房2廳2衛,N
2018-09-29,700.0,43.59,16.04,65.00%,套房,15,6F/14F,1房1廳1衛,N
2018-09-29,980.0,36.59,26.75,95.94%,公寓,,4F/5F,3房2廳1衛,N
2018-09-28,710.0,26.8,26.48,78.40%,公寓,36,3F/5F,3房1廳2衛,N
2018-09-28,908.0,29.2,31.12,78.45%,公寓,31,5F/5F,3房2廳2衛,N
2018-09-27,570.0,42.5,13.4,52.48%,套房,23,1F/5F,1房1廳1衛,N
2018-09-27,840.0,50.19,16.73,65.65%,住宅大樓,24,4F/18F,1房2廳1衛,N
2018-09-25,1150.0,39.41,29.2,74.77%,公寓,,2F/4F,3房2廳1衛,N
2018-09-25,1250.0,39.81,31.44,84.98%,公寓,,1F/5F,3房2廳2衛,N
2018-09-25,1100.0,35.41,31.06,92.71%,公寓,,4F/4F,3房2廳1衛,N
2018-09-24,1150.0,29.3,39.21,68.75%,公寓,38,5F/5F,3房2廳2衛,N
2018-09-24,1358.0,46.41,29.28,62.83%,住宅大樓,23,6F/13F,3房2廳2衛,N
2018-09-23,530.0,47.91,11.05,61.82%,套房,24,7F/13F,1房1廳1衛,N
2018-09-23,1670.0,44.0,37.95,81.47%,華廈,,6F/7F,4房2廳2衛,N
2018-09-21,2088.0,45.59,45.81,60.87%,華廈,9,2F/5F,3房2廳2衛,N
2018-09-21,1130.0,34.91,32.36,88.72%,公寓,32,5F/5F,3房2廳2衛,N
2018-09-21,660.0,43.81,15.06,64.34%,住宅大樓,21,4F/13F,2房2廳1衛,N
2018-09-21,2376.0,53.31,44.56,55.43%,住宅大樓,20,5F/16F,3房2廳2衛,N
2018-09-20,437.5,46.81,9.34,73.32%,華廈,29,3F/8F,3房2廳2衛,N
2018-09-20,329.4,10.9,30.29,79.39%,公寓,36,5F/5F,2房1廳1衛,N
2018-09-19,200.0,26.8,7.47,75.16%,公寓,34,4F/5F,3房2廳2衛,N
2018-09-19,1180.0,47.19,25.0,83.00%,公寓,39,2F/4F,3房2廳1衛,N
2018-09-19,970.0,34.91,27.83,96.96%,公寓,,5F/5F,3房1廳2衛,N
2018-09-18,800.0,18.5,43.14,71.70%,住宅大樓,23,3F/11F,3房2廳2衛,N
2018-09-17,700.0,21.59,32.37,78.76%,公寓,34,3F/5F,3房2廳2衛,N
2018-09-17,1300.0,41.31,31.46,76.25%,公寓,37,3F/5F,3房2廳1衛,N
2018-09-16,5400.0,131.62,41.03,,店面（店舖),41,1F/5F,0房0廳2衛,N
2018-09-16,850.0,43.0,19.77,87.17%,公寓,,5F/5F,3房0廳3衛,N
2018-09-15,900.0,48.5,18.54,86.87%,公寓,,2F/4F,3房2廳1衛,N
2018-09-15,710.0,55.31,12.84,82.65%,套房,25,6F/9F,1房1廳1衛,N
2018-09-15,920.0,32.81,28.04,74.75%,公寓,35,3F/5F,3房2廳2衛,N
2018-09-15,698.0,34.31,20.37,94.91%,公寓,30,4F/4F,2房1廳1衛,N
2018-09-14,800.0,35.0,22.84,75.57%,公寓,38,2F/5F,2房1廳1衛,N
2018-09-14,1868.0,51.31,36.4,82.21%,華廈,32,6F/9F,3房2廳2衛,N
2018-09-13,1468.0,33.31,44.03,79.02%,華廈,27,2F/6F,3房2廳2衛,N
2018-09-12,1350.0,44.09,30.64,81.62%,公寓,,5F/5F,2房2廳1衛,N
2018-09-12,455.0,28.91,15.76,49.98%,套房,24,地下1F/11F,1房1廳1衛,N
2018-09-11,1720.0,49.69,34.6,73.75%,華廈,,6F/7F,3房2廳2衛,N
2018-09-11,2252.0,60.31,37.37,60.27%,華廈,2,2F/10F,3房2廳2衛,N
2018-09-10,1300.0,41.09,31.62,40.95%,公寓,31,5F/5F,3房2廳1衛,N
2018-09-10,2150.0,38.81,55.37,69.47%,住宅大樓,21,5F/16F,4房2廳3衛,N
2018-09-10,1320.0,39.09,33.78,83.27%,公寓,30,2F/5F,3房1廳1衛,N
2018-09-09,1320.0,43.41,30.43,85.83%,公寓,46,2F/4F,3房2廳2衛,N
2018-09-09,780.0,29.7,26.24,74.71%,公寓,35,4F/5F,3房2廳1衛,N
2018-09-09,1458.0,46.5,31.36,79.65%,華廈,23,6F/7F,3房2廳2衛,N
2018-09-08,810.0,41.69,19.4,96.73%,公寓,,4F/5F,3房0廳3衛,N
2018-09-08,1017.0,40.41,25.18,100.00%,公寓,50,3F/4F,3房2廳1衛,N
2018-09-07,1060.0,42.09,25.15,66.55%,住宅大樓,21,4F/11F,2房2廳1衛,N
2018-09-07,1960.0,53.31,36.75,55.82%,住宅大樓,20,16F/16F,3房2廳2衛,N
2018-09-05,800.0,43.69,18.3,61.16%,套房,15,9F/14F,1房1廳1衛,N
2018-09-04,668.0,58.0,11.52,51.56%,套房,9,13F/15F,1房1廳1衛,N
2018-09-03,1800.0,78.31,23.0,71.38%,華廈,1,1F/5F,2房2廳1衛,N
2018-09-03,1080.0,46.81,23.07,61.38%,住宅大樓,14,11F/12F,2房2廳1衛,N
2018-09-03,1200.0,39.41,30.49,87.42%,公寓,36,2F/5F,3房2廳1衛,N
2018-09-03,1800.0,36.41,49.45,68.38%,華廈,37,5F/8F,4房2廳2衛,N
2018-09-02,625.0,39.0,16.04,47.34%,套房,23,10F/24F,1房1廳1衛,N
2018-09-02,1320.0,48.59,27.16,67.11%,住宅大樓,23,5F/15F,2房2廳1衛,N
2018-09-01,1130.0,46.59,24.26,81.11%,華廈,26,2F/5F,3房2廳2衛,N
