date,total_price(萬),square(坪),square_price(萬/坪),主建物佔比,type,age,floor,格局,電梯
2016-09-02,860.0,37.19,23.1,63.05%,華廈,1,2F/10F,2房1廳1衛,N
2016-09-01,1050.0,29.91,35.12,75.52%,華廈,22,4F/7F,3房2廳2衛,N
2016-08-31,850.0,33.31,25.55,65.94%,住宅大樓,19,9F/12F,3房2廳2衛,N
2016-08-31,910.0,32.09,28.33,90.84%,公寓,32,3F/5F,3房2廳2衛,N
2016-08-31,1180.0,47.41,24.91,100.00%,公寓,36,1F/5F,3房2廳2衛,N
2016-08-31,50.0,0.0,16.63,,透天厝,,A/1F,6房1廳1衛,N
2016-08-30,1266.0,0.0,32.45,,透天厝,37,A/2F,4房2廳2衛,N
2016-08-30,860.0,0.0,39.7,,透天厝,20,A/3F,3房2廳2衛,N
2016-08-30,470.0,30.7,15.29,83.36%,住宅大樓,22,10F/12F,3房2廳2衛,N
2016-08-29,250.0,31.41,7.96,68.48%,套房,21,9F/13F,,N
2016-08-29,875.0,27.5,31.79,,其他,,10F/14F,,N
2016-08-29,733.0,24.0,30.48,,其他,,6F/14F,,N
2016-08-29,1006.0,31.59,31.86,71.86%,華廈,22,9F/10F,2房2廳2衛,N
2016-08-29,750.0,0.0,30.63,,透天厝,35,A/2F,4房3廳3衛,N
2016-08-29,1150.0,47.5,24.23,75.93%,住宅大樓,20,10F/14F,2房2廳1衛,N
2016-08-29,680.0,23.59,28.77,100.00%,公寓,36,5F/5F,3房2廳2衛,N
2016-08-28,1818.0,46.91,38.79,89.18%,公寓,29,2F/5F,3房2廳2衛,N
2016-08-28,400.0,10.5,38.28,67.00%,住宅大樓,16,6F/13F,3房2廳2衛,N
2016-08-28,1240.0,38.31,32.39,85.41%,公寓,38,3F/4F,4房2廳2衛,N
2016-08-27,510.0,19.7,25.89,87.44%,公寓,34,4F/5F,3房2廳2衛,N
2016-08-27,450.0,23.8,18.92,85.89%,公寓,34,3F/5F,2房2廳1衛,N
2016-08-27,545.0,12.8,42.51,82.82%,住宅大樓,22,2F/16F,2房2廳2衛,N
2016-08-26,888.0,66.88,13.27,,店面（店舖),21,1F/11F,2房2廳1衛,N
2016-08-26,2350.0,47.19,49.81,61.64%,住宅大樓,1,9F/12F,3房2廳2衛,N
2016-08-26,390.0,48.41,8.05,65.92%,住宅大樓,13,7F/14F,2房1廳1衛,N
2016-08-25,1500.0,56.0,26.81,66.95%,住宅大樓,7,6F/27F,2房2廳1衛,N
2016-08-25,170.0,8.3,20.36,,華廈,35,3F/7F,1房1廳1衛,N
2016-08-25,420.0,13.7,30.73,85.97%,公寓,33,4F/5F,3房1廳1衛,N
2016-08-25,1195.6,52.59,22.73,,辦公商業大樓,4,2F/22F,2房0廳1衛,N
2016-08-25,5892.0,59.41,99.2,59.85%,住宅大樓,1,4F/28F,4房2廳3衛,N
2016-08-25,694.0,25.09,27.65,,其他,,3F/14F,,N
2016-08-24,788.0,60.31,13.08,60.54%,住宅大樓,4,1F/28F,0房2廳1衛,N
2016-08-24,7130.0,26.91,264.88,,廠辦,36,3F/5F,,N
2016-08-24,1188.0,47.31,25.11,100.00%,公寓,37,2F/4F,3房2廳2衛,N
2016-08-24,184.4,20.09,9.17,100.00%,公寓,38,5F/5F,3房2廳1衛,N
2016-08-23,580.0,16.2,35.77,84.23%,住宅大樓,20,17F/18F,3房2廳2衛,N
2016-08-23,426.0,45.09,9.44,57.79%,住宅大樓,21,2F/14F,1房1廳1衛,N
2016-08-23,1000.0,36.31,27.55,61.31%,住宅大樓,,3F/13F,2房2廳1衛,N
2016-08-22,1060.0,37.5,28.3,62.67%,住宅大樓,17,14F/18F,3房2廳1衛,N
2016-08-22,1400.0,36.91,37.89,63.45%,住宅大樓,17,6F/36F,3房2廳2衛,N
2016-08-22,768.0,24.91,30.88,85.54%,公寓,34,4F/5F,3房2廳2衛,N
2016-08-22,5800.0,0.0,43.75,,透天厝,,A/2F,4房2廳2衛,N
2016-08-22,700.0,26.5,26.38,77.55%,華廈,21,5F/6F,3房1廳2衛,N
